name,드라마,액션,코미디,스릴러,범죄,모험,로맨스,애니메이션,미스터리,SF,판타지
김태우,90,93.0,88.0,82.0,77.0,90.0,NaN,88.0,NaN,84.0,84.0
Movie Train,91,93.0,89.0,82.0,85.0,88.0,75.0,82.0,NaN,80.0,79.0
Moretz,93,93.0,87.0,82.0,83.0,87.0,79.0,84.0,NaN,79.0,79.0
장규희,92,92.0,92.0,82.0,79.0,87.0,86.0,NaN,NaN,78.0,82.0
B,94,91.0,89.0,84.0,88.0,87.0,NaN,84.0,NaN,NaN,76.0
배우정보사전,93,91.0,91.0,86.0,85.0,82.0,80.0,79.0,NaN,NaN,NaN
카시나,94,91.0,87.0,86.0,86.0,78.0,86.0,NaN,NaN,72.0,73.0
김유래,91,91.0,86.0,82.0,NaN,90.0,NaN,92.0,NaN,81.0,82.0
Soquan,92,93.0,86.0,77.0,81.0,84.0,71.0,NaN,76.0,84.0,80.0
성시현,93,91.0,90.0,87.0,83.0,83.0,83.0,NaN,NaN,73.0,78.0
뵤리,93,84.0,93.0,NaN,NaN,81.0,86.0,80.0,NaN,NaN,78.0
엥겔스의 고양이,91,93.0,88.0,80.0,79.0,89.0,77.0,89.0,NaN,83.0,83.0
이동진,94,92.0,87.0,82.0,86.0,85.0,NaN,83.0,NaN,76.0,77.0
나나나,94,87.0,89.0,78.0,86.0,80.0,88.0,82.0,NaN,NaN,77.0
JMLee,93,91.0,89.0,81.0,NaN,88.0,82.0,88.0,NaN,NaN,82.0
❤️‍🔥,91,91.0,86.0,82.0,83.0,89.0,NaN,88.0,NaN,NaN,87.0
MinChul Lee,89,94.0,89.0,83.0,79.0,88.0,NaN,86.0,NaN,80.0,78.0
모자,93,92.0,87.0,80.0,NaN,90.0,81.0,89.0,NaN,81.0,83.0
퉤줜,93,93.0,85.0,84.0,86.0,88.0,NaN,81.0,76.0,79.0,79.0
신하우 평론,93,93.0,90.0,81.0,82.0,84.0,83.0,88.0,NaN,NaN,78.0
김지우0301,94,91.0,89.0,82.0,84.0,84.0,NaN,84.0,76.0,NaN,74.0
우희성,90,93.0,87.0,NaN,82.0,87.0,NaN,94.0,78.0,77.0,77.0
PJM,91,93.0,90.0,83.0,77.0,89.0,NaN,87.0,NaN,77.0,80.0
기함수우함수,93,92.0,90.0,78.0,80.0,88.0,79.0,87.0,NaN,NaN,80.0
하나🌸,94,87.0,91.0,80.0,84.0,NaN,88.0,88.0,NaN,NaN,80.0
Outlier,93,91.0,90.0,88.0,87.0,80.0,79.0,NaN,75.0,NaN,72.0
이초우,94,88.0,90.0,82.0,83.0,85.0,82.0,86.0,NaN,NaN,79.0
임돌선,95,89.0,91.0,84.0,84.0,78.0,82.0,79.0,NaN,NaN,NaN
민준홍,91,93.0,85.0,83.0,84.0,90.0,NaN,74.0,NaN,83.0,82.0
중가,93,89.0,91.0,79.0,NaN,83.0,88.0,81.0,NaN,NaN,77.0
최찬미,94,81.0,93.0,78.0,77.0,NaN,88.0,82.0,NaN,NaN,NaN
이현석,91,93.0,88.0,78.0,82.0,90.0,NaN,80.0,NaN,81.0,80.0
노릇,92,93.0,90.0,85.0,85.0,85.0,74.0,80.0,NaN,80.0,78.0
Rew,92,93.0,89.0,85.0,80.0,87.0,79.0,78.0,NaN,80.0,80.0
조세연,93,93.0,89.0,80.0,81.0,87.0,81.0,NaN,73.0,NaN,78.0
제이크,91,93.0,88.0,81.0,81.0,89.0,NaN,87.0,NaN,81.0,83.0
batman2830,93,92.0,88.0,84.0,84.0,86.0,76.0,87.0,NaN,NaN,79.0
신박한닉네임,93,91.0,87.0,83.0,83.0,88.0,NaN,84.0,NaN,79.0,NaN
김태완,92,93.0,85.0,86.0,89.0,85.0,NaN,NaN,NaN,74.0,73.0
먐마,95,80.0,91.0,75.0,72.0,NaN,89.0,NaN,80.0,NaN,NaN
키요땅,94,85.0,92.0,76.0,81.0,85.0,85.0,90.0,NaN,NaN,78.0
리잼,92,91.0,89.0,78.0,78.0,87.0,NaN,92.0,NaN,78.0,81.0
이상우,94,91.0,89.0,85.0,83.0,85.0,79.0,83.0,NaN,NaN,78.0
윤지,94,90.0,90.0,80.0,83.0,86.0,84.0,86.0,NaN,NaN,78.0
톰톰,93,92.0,87.0,82.0,82.0,89.0,78.0,81.0,NaN,79.0,79.0
세라믹판다,90,93.0,88.0,80.0,NaN,89.0,74.0,89.0,NaN,80.0,83.0
JERRY hometown,94,87.0,84.0,88.0,84.0,86.0,NaN,NaN,79.0,NaN,82.0
김소연,93,89.0,94.0,78.0,81.0,82.0,82.0,NaN,NaN,NaN,74.0
이호준,86,95.0,NaN,NaN,78.0,86.0,66.0,NaN,NaN,80.0,85.0
에취비,92,93.0,90.0,84.0,84.0,86.0,75.0,78.0,NaN,81.0,74.0
승ㅏ,94,90.0,91.0,81.0,79.0,79.0,88.0,NaN,NaN,NaN,NaN
이수경,93,89.0,91.0,84.0,84.0,86.0,82.0,86.0,NaN,NaN,81.0
john,94,90.0,88.0,85.0,87.0,79.0,83.0,NaN,76.0,67.0,NaN
김태승,90,93.0,90.0,84.0,81.0,87.0,NaN,85.0,NaN,78.0,81.0
BONGJA,90,94.0,87.0,81.0,80.0,88.0,NaN,80.0,NaN,83.0,79.0
이시진,96,75.0,87.0,81.0,79.0,NaN,82.0,74.0,NaN,NaN,NaN
권혁,93,93.0,88.0,86.0,87.0,83.0,75.0,69.0,72.0,76.0,NaN
PULLGUN,91,93.0,80.0,82.0,77.0,90.0,NaN,80.0,NaN,84.0,80.0
주혜령,93,89.0,91.0,86.0,86.0,85.0,79.0,85.0,81.0,NaN,78.0
양곤,93,92.0,87.0,85.0,86.0,87.0,73.0,NaN,NaN,79.0,77.0
윤쥐,94,88.0,90.0,84.0,83.0,79.0,86.0,NaN,NaN,NaN,NaN
Y MK,93,92.0,82.0,87.0,86.0,86.0,NaN,NaN,77.0,80.0,76.0
조조는나의힘,93,92.0,90.0,86.0,84.0,83.0,80.0,81.0,NaN,NaN,76.0
김남기,93,91.0,91.0,80.0,86.0,84.0,80.0,73.0,NaN,71.0,73.0
박기용,93,92.0,90.0,81.0,85.0,85.0,83.0,NaN,NaN,81.0,76.0
Haein,92,93.0,89.0,79.0,85.0,90.0,82.0,NaN,76.0,79.0,81.0
이도환,92,90.0,91.0,NaN,NaN,88.0,80.0,86.0,NaN,68.0,85.0
안녕,94,91.0,88.0,79.0,81.0,88.0,84.0,83.0,NaN,81.0,NaN
김광규,94,92.0,90.0,82.0,81.0,85.0,86.0,NaN,NaN,68.0,76.0
이상현,93,92.0,88.0,86.0,86.0,82.0,78.0,NaN,NaN,77.0,74.0
하디,92,93.0,87.0,80.0,84.0,89.0,NaN,80.0,NaN,80.0,80.0
무럭이,90,93.0,84.0,78.0,82.0,90.0,NaN,81.0,NaN,85.0,77.0
경원,87,91.0,89.0,NaN,78.0,91.0,NaN,92.0,NaN,76.0,83.0
김상준,90,93.0,87.0,85.0,80.0,89.0,NaN,89.0,NaN,81.0,83.0
holly,93,92.0,88.0,73.0,NaN,89.0,83.0,86.0,NaN,79.0,83.0
한여진,94,85.0,88.0,85.0,82.0,78.0,89.0,NaN,NaN,NaN,NaN
김경민,91,93.0,88.0,85.0,77.0,89.0,NaN,74.0,NaN,82.0,79.0
미미쨩,93,93.0,90.0,73.0,86.0,87.0,83.0,NaN,NaN,NaN,78.0
승현,92,88.0,91.0,NaN,NaN,89.0,84.0,91.0,NaN,76.0,83.0
Daniel Han,92,93.0,88.0,84.0,85.0,88.0,79.0,79.0,NaN,80.0,80.0
진하,94,85.0,91.0,77.0,84.0,86.0,83.0,77.0,NaN,NaN,79.0
주노,92,93.0,87.0,84.0,82.0,90.0,NaN,77.0,NaN,82.0,78.0
윤정민,94,88.0,91.0,NaN,74.0,83.0,88.0,85.0,NaN,NaN,78.0
생갈치1호의행방불명,90,94.0,89.0,81.0,84.0,89.0,NaN,76.0,69.0,83.0,79.0
허준호,93,90.0,91.0,73.0,NaN,87.0,82.0,85.0,NaN,NaN,78.0
쿨호,92,92.0,92.0,84.0,85.0,83.0,80.0,76.0,NaN,70.0,NaN
소백촌닭✿ܓ✿ܓ,92,93.0,88.0,88.0,85.0,84.0,74.0,NaN,NaN,79.0,76.0
채수민,94,92.0,89.0,85.0,84.0,83.0,79.0,84.0,NaN,79.0,NaN
김한울,93,93.0,89.0,79.0,82.0,88.0,83.0,NaN,NaN,76.0,79.0
Jun Hyuk Kim,91,93.0,89.0,83.0,82.0,87.0,NaN,90.0,NaN,81.0,82.0
유리,93,90.0,90.0,79.0,NaN,88.0,86.0,85.0,NaN,79.0,82.0
엄마가 옛날처럼 걷게 되면 좋겠어요,94,91.0,91.0,85.0,85.0,81.0,79.0,79.0,NaN,NaN,75.0
주안역 망나뇽,92,92.0,91.0,83.0,88.0,77.0,71.0,NaN,67.0,NaN,69.0
sorom,95,88.0,89.0,78.0,83.0,83.0,85.0,NaN,NaN,NaN,73.0
서정욱,94,90.0,85.0,87.0,90.0,63.0,81.0,NaN,73.0,68.0,NaN
Murry Maeir,92,92.0,90.0,85.0,82.0,89.0,NaN,86.0,NaN,79.0,84.0
수플레,94,88.0,90.0,86.0,86.0,75.0,85.0,71.0,68.0,NaN,NaN
이도은,93,92.0,89.0,83.0,82.0,87.0,81.0,NaN,NaN,79.0,79.0
장지한,93,92.0,90.0,85.0,85.0,84.0,74.0,78.0,NaN,75.0,NaN
메키케키,92,93.0,90.0,76.0,77.0,88.0,85.0,85.0,NaN,78.0,79.0
제로시스터,94,91.0,89.0,86.0,84.0,85.0,76.0,NaN,NaN,75.0,NaN
이어진,91,93.0,88.0,78.0,79.0,90.0,NaN,90.0,NaN,79.0,80.0
성재,93,92.0,87.0,81.0,85.0,89.0,NaN,86.0,74.0,80.0,80.0
2슬,92,92.0,89.0,82.0,NaN,89.0,83.0,87.0,NaN,80.0,83.0
전승환,93,92.0,90.0,81.0,82.0,87.0,76.0,79.0,NaN,75.0,77.0
신재윤,92,94.0,84.0,80.0,85.0,88.0,NaN,NaN,71.0,81.0,71.0
Noname,91,93.0,91.0,87.0,86.0,82.0,77.0,NaN,NaN,72.0,73.0
Kupdog00,94,91.0,88.0,NaN,84.0,87.0,80.0,83.0,NaN,78.0,NaN
서비,91,94.0,88.0,82.0,83.0,88.0,75.0,80.0,NaN,81.0,82.0
Groot,93,92.0,88.0,84.0,81.0,87.0,81.0,NaN,71.0,85.0,80.0
숑샹숑,93,89.0,85.0,82.0,85.0,89.0,77.0,87.0,NaN,NaN,74.0
Damian Jeon DongHyun,94,91.0,91.0,82.0,86.0,81.0,80.0,NaN,NaN,NaN,72.0
김다진,95,81.0,90.0,83.0,NaN,79.0,85.0,92.0,NaN,NaN,79.0
KyungDongKoh,91,93.0,88.0,86.0,86.0,87.0,NaN,67.0,68.0,81.0,77.0
최대한,93,93.0,85.0,84.0,88.0,81.0,75.0,NaN,68.0,71.0,NaN
김지규,90,94.0,89.0,85.0,85.0,86.0,NaN,69.0,NaN,79.0,77.0
권재현,92,93.0,84.0,88.0,76.0,87.0,NaN,NaN,76.0,80.0,79.0
schnee,91,94.0,83.0,82.0,84.0,89.0,NaN,83.0,NaN,80.0,78.0
감성혁명,94,91.0,88.0,86.0,86.0,81.0,83.0,NaN,71.0,NaN,NaN
유갱스터,94,91.0,89.0,76.0,80.0,88.0,86.0,81.0,NaN,78.0,80.0
조예식,93,88.0,91.0,80.0,74.0,75.0,90.0,NaN,NaN,75.0,82.0
김철수철수,91,92.0,87.0,78.0,86.0,89.0,NaN,90.0,NaN,79.0,83.0
이태희,92,93.0,85.0,86.0,86.0,88.0,74.0,84.0,NaN,81.0,79.0
생각들,93,91.0,90.0,84.0,85.0,85.0,81.0,81.0,NaN,76.0,80.0
박태현,90,94.0,86.0,79.0,78.0,90.0,NaN,84.0,NaN,85.0,81.0
정서우,92,92.0,87.0,82.0,NaN,90.0,NaN,88.0,NaN,81.0,84.0
호랭이53,92,92.0,88.0,79.0,79.0,90.0,82.0,84.0,NaN,NaN,82.0
JUUN,92,90.0,91.0,NaN,NaN,89.0,78.0,89.0,NaN,78.0,84.0
긴꿈,93,91.0,91.0,79.0,80.0,88.0,83.0,82.0,NaN,79.0,80.0
강태산,95,88.0,86.0,84.0,77.0,80.0,84.0,82.0,NaN,80.0,NaN
이공사육,94,91.0,89.0,83.0,83.0,83.0,86.0,NaN,NaN,NaN,74.0
박민호,89,93.0,88.0,89.0,83.0,87.0,NaN,NaN,78.0,82.0,80.0
황석연,94,89.0,90.0,84.0,85.0,80.0,82.0,73.0,68.0,NaN,NaN
윤성현,89,94.0,81.0,86.0,82.0,89.0,NaN,75.0,NaN,83.0,81.0
최선,94,89.0,90.0,83.0,78.0,88.0,86.0,84.0,NaN,NaN,83.0
배추,89,94.0,85.0,81.0,75.0,90.0,NaN,85.0,NaN,85.0,80.0
장시월,88,94.0,88.0,80.0,75.0,90.0,NaN,76.0,NaN,86.0,83.0
머리머리애로,94,84.0,91.0,79.0,NaN,83.0,88.0,85.0,NaN,NaN,79.0
6799511,94,91.0,89.0,82.0,88.0,77.0,76.0,NaN,NaN,NaN,71.0
한진우,92,92.0,87.0,NaN,84.0,89.0,NaN,87.0,NaN,84.0,NaN
imyourhabibi,93,91.0,90.0,83.0,81.0,88.0,79.0,83.0,NaN,79.0,83.0
지봉,91,93.0,90.0,83.0,82.0,87.0,NaN,86.0,NaN,78.0,81.0
다카프리오,92,93.0,89.0,83.0,79.0,86.0,NaN,82.0,NaN,78.0,78.0
숨덕탈출(최애장르:액션),90,92.0,90.0,78.0,NaN,89.0,NaN,91.0,NaN,80.0,81.0
Jay,93,92.0,89.0,87.0,83.0,84.0,81.0,79.0,NaN,NaN,81.0
김주영,94,90.0,88.0,83.0,87.0,87.0,77.0,NaN,NaN,80.0,79.0
루블릿,92,93.0,86.0,85.0,82.0,88.0,74.0,82.0,NaN,83.0,79.0
훈짱,94,93.0,89.0,81.0,88.0,64.0,78.0,NaN,NaN,NaN,NaN
쬬니팍,91,93.0,89.0,83.0,81.0,88.0,NaN,86.0,NaN,78.0,80.0
JutakSohn,93,92.0,83.0,85.0,85.0,86.0,NaN,NaN,77.0,79.0,80.0
김나봉,93,90.0,90.0,85.0,85.0,86.0,83.0,81.0,NaN,NaN,80.0
유기농오믈렛,94,88.0,90.0,76.0,77.0,85.0,89.0,76.0,NaN,NaN,80.0
김요환,94,89.0,87.0,84.0,88.0,84.0,77.0,NaN,75.0,75.0,NaN
김토끼,93,92.0,88.0,87.0,85.0,84.0,75.0,76.0,NaN,82.0,NaN
백종찬,94,87.0,87.0,NaN,92.0,NaN,86.0,NaN,74.0,NaN,76.0
김성윤,91,90.0,90.0,70.0,81.0,89.0,NaN,90.0,NaN,74.0,79.0
두둥실,93,90.0,88.0,86.0,83.0,87.0,83.0,85.0,NaN,80.0,80.0
마이클 왓챠스키,89,94.0,75.0,79.0,73.0,89.0,NaN,73.0,57.0,90.0,77.0
꾸에엑,94,91.0,88.0,80.0,83.0,88.0,83.0,85.0,NaN,NaN,80.0
내가조아하는게조하,93,85.0,92.0,NaN,77.0,84.0,89.0,80.0,NaN,NaN,80.0
세현,92,92.0,87.0,86.0,84.0,89.0,NaN,90.0,81.0,79.0,NaN
엠퍼러펭귄,94,91.0,86.0,86.0,84.0,85.0,84.0,85.0,NaN,NaN,81.0
김태호,93,91.0,92.0,78.0,82.0,88.0,81.0,81.0,NaN,76.0,78.0
이하늘,94,83.0,90.0,NaN,75.0,79.0,87.0,88.0,NaN,NaN,NaN
JeongMin Lee,93,93.0,87.0,86.0,85.0,86.0,76.0,NaN,72.0,76.0,75.0
황현록,92,93.0,88.0,80.0,84.0,89.0,74.0,74.0,NaN,82.0,78.0
Smile,94,93.0,87.0,75.0,85.0,78.0,77.0,NaN,NaN,NaN,70.0
이윤현(충남 비공식 영화 덕후,93,92.0,89.0,82.0,83.0,85.0,76.0,82.0,NaN,NaN,NaN
이경현,90,94.0,85.0,84.0,81.0,88.0,71.0,NaN,NaN,85.0,79.0
상원,94,91.0,88.0,88.0,88.0,77.0,77.0,NaN,70.0,69.0,NaN
돼지가 돼지하네,90,94.0,82.0,84.0,76.0,90.0,NaN,87.0,NaN,85.0,82.0
나홍진,94,91.0,88.0,88.0,87.0,74.0,83.0,NaN,71.0,66.0,NaN
정가연,93,91.0,90.0,84.0,83.0,86.0,85.0,NaN,NaN,75.0,79.0
Sherlock_Hong,90,94.0,88.0,77.0,82.0,90.0,NaN,80.0,NaN,82.0,81.0
고은믿음,92,93.0,90.0,85.0,83.0,85.0,81.0,NaN,NaN,73.0,76.0
최대건,92,93.0,90.0,86.0,86.0,84.0,NaN,70.0,NaN,72.0,74.0
이승원,92,93.0,90.0,82.0,84.0,87.0,NaN,82.0,NaN,78.0,79.0
Soodaler,93,90.0,87.0,90.0,86.0,81.0,NaN,NaN,83.0,80.0,78.0
김상민,93,91.0,92.0,76.0,82.0,86.0,81.0,84.0,NaN,75.0,76.0
고소한고소미,92,93.0,90.0,83.0,84.0,85.0,NaN,76.0,NaN,76.0,74.0
차한잔,90,94.0,87.0,85.0,83.0,87.0,NaN,89.0,NaN,81.0,78.0
유우리,92,90.0,91.0,88.0,NaN,86.0,80.0,81.0,80.0,NaN,84.0
김지훈,92,92.0,90.0,83.0,84.0,88.0,NaN,72.0,NaN,80.0,77.0
앞마당,94,90.0,91.0,86.0,86.0,81.0,82.0,79.0,NaN,75.0,NaN
주원,91,93.0,86.0,80.0,82.0,91.0,NaN,84.0,NaN,78.0,81.0
박재영,92,93.0,88.0,83.0,83.0,88.0,72.0,73.0,NaN,79.0,78.0
장수현,94,88.0,92.0,NaN,82.0,85.0,82.0,84.0,NaN,NaN,78.0
방구석조감독,94,92.0,81.0,85.0,91.0,76.0,78.0,NaN,72.0,67.0,NaN
반재운,93,92.0,88.0,85.0,87.0,84.0,NaN,79.0,NaN,74.0,75.0
숀빈을 거꾸로 하면 살자,89,93.0,89.0,79.0,76.0,91.0,NaN,83.0,NaN,83.0,81.0
담담하게,94,82.0,91.0,78.0,83.0,80.0,87.0,78.0,NaN,NaN,NaN
슈슈,93,92.0,91.0,82.0,84.0,85.0,86.0,80.0,NaN,NaN,76.0
희준,92,92.0,88.0,81.0,78.0,89.0,81.0,85.0,NaN,79.0,80.0
서동균,90,94.0,87.0,85.0,87.0,87.0,NaN,72.0,NaN,76.0,77.0
히로세스즈,92,93.0,87.0,81.0,NaN,90.0,78.0,85.0,NaN,81.0,81.0
상방리,95,89.0,86.0,85.0,87.0,79.0,78.0,77.0,NaN,NaN,74.0
jae un,92,92.0,90.0,78.0,77.0,89.0,NaN,88.0,NaN,83.0,77.0
김오후,94,90.0,88.0,81.0,87.0,85.0,88.0,76.0,72.0,NaN,81.0
황창순,93,92.0,87.0,85.0,89.0,82.0,NaN,85.0,80.0,NaN,73.0
해묘,94,91.0,89.0,87.0,87.0,77.0,82.0,NaN,72.0,NaN,NaN
Kim SeongYeop,93,93.0,87.0,85.0,86.0,85.0,78.0,NaN,NaN,71.0,77.0
dasol,93,84.0,92.0,NaN,76.0,85.0,88.0,89.0,NaN,NaN,NaN
윤찬호,93,92.0,89.0,88.0,88.0,81.0,77.0,NaN,76.0,NaN,73.0
정동진,94,90.0,90.0,82.0,90.0,73.0,81.0,NaN,73.0,NaN,NaN
JiYongPark,91,94.0,87.0,86.0,82.0,88.0,NaN,79.0,NaN,82.0,81.0
Vonchio,94,92.0,88.0,85.0,86.0,82.0,78.0,72.0,NaN,NaN,NaN
캡틴부메랑,85,94.0,81.0,NaN,65.0,90.0,NaN,92.0,NaN,85.0,82.0
정인규,90,94.0,87.0,83.0,84.0,88.0,NaN,81.0,NaN,81.0,79.0
이순혁,93,91.0,91.0,82.0,86.0,86.0,82.0,NaN,NaN,74.0,77.0
김홍영,92,92.0,89.0,83.0,87.0,86.0,81.0,73.0,NaN,77.0,77.0
turnslow,92,94.0,87.0,86.0,86.0,84.0,71.0,NaN,NaN,77.0,75.0
추영우,91,94.0,88.0,81.0,81.0,88.0,78.0,NaN,NaN,80.0,81.0
제프박,95,89.0,89.0,85.0,83.0,75.0,82.0,90.0,NaN,NaN,NaN
🤚🤚,92,93.0,87.0,81.0,81.0,87.0,79.0,71.0,NaN,83.0,77.0
거대비버,93,92.0,89.0,85.0,85.0,84.0,80.0,76.0,NaN,77.0,75.0
오세일,93,92.0,90.0,85.0,86.0,83.0,NaN,77.0,NaN,73.0,73.0
혜정킴,93,91.0,87.0,87.0,87.0,86.0,84.0,80.0,76.0,NaN,80.0
송창석,93,92.0,88.0,86.0,81.0,84.0,81.0,82.0,NaN,NaN,80.0
김현승,94,89.0,92.0,85.0,85.0,81.0,80.0,77.0,NaN,NaN,NaN
문은호,89,94.0,88.0,81.0,75.0,91.0,NaN,82.0,NaN,83.0,85.0
김재윤,93,92.0,89.0,81.0,84.0,88.0,77.0,84.0,NaN,NaN,79.0
박주연,95,86.0,84.0,81.0,86.0,NaN,87.0,NaN,81.0,NaN,NaN
리버스비상,92,93.0,88.0,79.0,81.0,88.0,77.0,90.0,NaN,78.0,82.0
혜 성,94,92.0,84.0,87.0,88.0,85.0,78.0,NaN,NaN,79.0,76.0
Fpkm,89,93.0,87.0,81.0,78.0,88.0,NaN,93.0,NaN,83.0,80.0
샴페인슈퍼노바,91,94.0,87.0,69.0,84.0,88.0,NaN,74.0,NaN,81.0,77.0
이수정,90,92.0,88.0,77.0,NaN,90.0,NaN,89.0,NaN,78.0,86.0
Movie_Lee,92,92.0,NaN,88.0,78.0,NaN,NaN,NaN,NaN,47.0,NaN
eazywater,95,83.0,91.0,78.0,78.0,73.0,89.0,69.0,NaN,NaN,NaN
재원,95,85.0,91.0,84.0,87.0,NaN,86.0,NaN,74.0,NaN,62.0
황민철,93,92.0,91.0,84.0,83.0,85.0,81.0,83.0,NaN,NaN,76.0
계봉석,93,92.0,90.0,85.0,83.0,84.0,78.0,NaN,NaN,75.0,78.0
김머원,93,92.0,84.0,86.0,87.0,82.0,NaN,75.0,73.0,73.0,NaN
생강,94,83.0,93.0,NaN,NaN,79.0,87.0,85.0,NaN,NaN,76.0
녹색식물,94,91.0,86.0,80.0,85.0,83.0,87.0,NaN,74.0,NaN,77.0
Woojin Chung,92,93.0,89.0,81.0,83.0,88.0,81.0,83.0,NaN,78.0,82.0
독수리대머리,89,93.0,89.0,80.0,82.0,91.0,76.0,81.0,NaN,81.0,85.0
문우진,94,88.0,89.0,NaN,83.0,86.0,84.0,88.0,NaN,NaN,80.0
김철순,94,92.0,90.0,83.0,85.0,84.0,78.0,76.0,NaN,74.0,77.0
무밍,94,90.0,90.0,80.0,79.0,86.0,86.0,80.0,NaN,NaN,79.0
최성웅,93,93.0,87.0,82.0,84.0,86.0,82.0,80.0,NaN,76.0,78.0
백지연연,92,93.0,89.0,76.0,88.0,88.0,74.0,83.0,NaN,NaN,82.0
전보람,95,85.0,91.0,80.0,79.0,72.0,87.0,NaN,71.0,NaN,NaN
조성현,91,93.0,89.0,87.0,82.0,86.0,NaN,77.0,NaN,76.0,79.0
박달이,94,88.0,92.0,76.0,82.0,81.0,83.0,78.0,NaN,NaN,NaN
마니아#,91,93.0,90.0,88.0,86.0,80.0,NaN,NaN,72.0,77.0,70.0
좀비,91,93.0,87.0,85.0,85.0,87.0,NaN,80.0,NaN,82.0,76.0
히밍웨이,94,92.0,84.0,84.0,89.0,83.0,82.0,NaN,83.0,78.0,77.0
KJH,95,86.0,84.0,82.0,NaN,86.0,87.0,86.0,NaN,NaN,78.0
키라,94,90.0,87.0,NaN,78.0,88.0,82.0,87.0,NaN,79.0,78.0
김태현,94,92.0,80.0,78.0,89.0,84.0,81.0,NaN,76.0,75.0,NaN
홍재현,91,93.0,86.0,80.0,86.0,90.0,NaN,86.0,NaN,84.0,82.0
아임,94,90.0,89.0,87.0,86.0,80.0,82.0,75.0,72.0,NaN,NaN
심심풀이팝콘,93,92.0,91.0,83.0,80.0,87.0,84.0,78.0,NaN,NaN,81.0
마인,93,91.0,91.0,78.0,83.0,82.0,87.0,NaN,75.0,73.0,72.0
민짜,93,92.0,87.0,86.0,87.0,87.0,79.0,81.0,NaN,NaN,80.0
윤은지,93,91.0,89.0,85.0,83.0,85.0,85.0,73.0,NaN,NaN,77.0
김상언,91,94.0,85.0,84.0,81.0,88.0,NaN,86.0,NaN,80.0,79.0
윤9,92,91.0,91.0,81.0,79.0,89.0,78.0,90.0,NaN,NaN,80.0
장정훈,94,92.0,85.0,79.0,89.0,83.0,80.0,NaN,NaN,73.0,NaN
정녕,94,90.0,90.0,82.0,89.0,85.0,80.0,90.0,NaN,NaN,77.0
솔둥이,93,86.0,89.0,85.0,NaN,89.0,NaN,90.0,80.0,NaN,86.0
mr,94,92.0,90.0,85.0,86.0,80.0,81.0,NaN,73.0,NaN,NaN
김준,94,91.0,90.0,81.0,86.0,84.0,82.0,NaN,73.0,69.0,74.0
밍채,93,91.0,89.0,80.0,84.0,80.0,89.0,73.0,76.0,NaN,74.0
pavel,95,90.0,87.0,80.0,83.0,84.0,81.0,84.0,NaN,NaN,NaN
임용수,94,91.0,89.0,83.0,84.0,80.0,75.0,NaN,NaN,NaN,NaN
레디액션맨 임상훈,92,94.0,83.0,82.0,82.0,89.0,NaN,83.0,NaN,80.0,82.0
시무룩한캘빈,93,91.0,90.0,84.0,80.0,87.0,77.0,86.0,NaN,81.0,79.0
서철민,93,93.0,90.0,85.0,84.0,83.0,83.0,73.0,NaN,NaN,77.0
Yonghoon,92,93.0,88.0,83.0,81.0,87.0,77.0,NaN,NaN,81.0,78.0
나는나고,94,91.0,91.0,83.0,84.0,83.0,79.0,76.0,NaN,75.0,75.0
Custos,92,93.0,89.0,80.0,84.0,89.0,77.0,NaN,NaN,80.0,78.0
팁트로닉,93,93.0,89.0,84.0,84.0,86.0,80.0,73.0,NaN,76.0,76.0
괴한,94,89.0,90.0,78.0,81.0,86.0,85.0,79.0,75.0,NaN,75.0
김준형,92,92.0,88.0,82.0,78.0,89.0,NaN,92.0,NaN,80.0,84.0
양건,92,93.0,89.0,77.0,83.0,88.0,NaN,79.0,NaN,84.0,73.0
funkyou,94,90.0,87.0,76.0,87.0,77.0,91.0,NaN,77.0,67.0,NaN
정한영의 무비생활,91,92.0,92.0,80.0,83.0,88.0,NaN,83.0,NaN,77.0,79.0
lll,93,90.0,92.0,86.0,83.0,85.0,80.0,79.0,NaN,77.0,NaN
Taewoo,92,93.0,91.0,82.0,81.0,87.0,68.0,71.0,NaN,79.0,77.0
걷는데 도착지가 보이지않아,90,90.0,88.0,80.0,NaN,90.0,NaN,93.0,NaN,79.0,84.0
밍듀,93,89.0,90.0,83.0,80.0,88.0,NaN,90.0,NaN,NaN,83.0
김태영,92,93.0,82.0,86.0,84.0,87.0,NaN,73.0,NaN,82.0,79.0
박한신,88,94.0,82.0,84.0,83.0,91.0,NaN,80.0,NaN,80.0,83.0
skysurfing,94,91.0,91.0,78.0,NaN,86.0,85.0,82.0,NaN,76.0,81.0
이런걸 누가봐? 에서 누구를 맡고있음,94,90.0,91.0,81.0,79.0,86.0,84.0,89.0,NaN,NaN,82.0
이상윤,93,92.0,84.0,77.0,77.0,89.0,NaN,86.0,NaN,86.0,81.0
거리에서,95,85.0,91.0,81.0,83.0,80.0,86.0,NaN,75.0,NaN,74.0
이가현,93,87.0,93.0,NaN,73.0,86.0,84.0,87.0,NaN,NaN,78.0
이수지,94,91.0,89.0,80.0,84.0,85.0,87.0,85.0,NaN,NaN,76.0
김경래,93,92.0,88.0,82.0,86.0,87.0,NaN,77.0,NaN,77.0,78.0
투슬리스,89,92.0,88.0,84.0,NaN,90.0,NaN,90.0,NaN,80.0,83.0
Choi,93,93.0,86.0,83.0,84.0,86.0,80.0,78.0,NaN,76.0,78.0
